dec ra err type kind energy time
-70.07159 118.5469 0 null gamma_ray 53.26406 1498091528.8935
-39.9559 86.02864 0 null gamma_ray 202.7506 1498091528.9084
-31.58423 46.36333 0 null gamma_ray 58.05275 1498091529.0843
-41.84171 75.70735 0 null gamma_ray 549.874 1498091529.133
-36.87616 66.72894 0 null gamma_ray 95.60028 1498091529.1558
-50.00809 141.8994 0 null gamma_ray 848.6746 1498091529.497
-46.82138 90.41376 0 null gamma_ray 648.5453 1498091529.601
-46.40786 85.24851 0 null gamma_ray 345.4756 1498091529.7552
-50.46982 101.8498 0 null gamma_ray 402.9016 1498091529.8124
-46.76053 138.6326 0 null gamma_ray 146.515 1498091529.9175
-33.45579 70.32665 0 null gamma_ray 629.5876 1498091529.9524
-54.62525 89.1202 0 null gamma_ray 324.6001 1498091530.3137
-40.8225 80.28774 0 null gamma_ray 136.0168 1498091530.5088
-38.23334 82.07211 0 null gamma_ray 210.7821 1498091531.1427
-40.85437 78.63651 0 null gamma_ray 330.9304 1498091531.1513
-22.52008 60.12508 0 null gamma_ray 594.1668 1498091531.3278
-48.86246 97.49879 0 null gamma_ray 665.5413 1498091531.4762
-35.18656 67.11844 0 null gamma_ray 233.56 1498091531.5944
-48.49437 114.9422 0 null gamma_ray 835.915 1498091531.6388
-50.00107 91.36555 0 null gamma_ray 808.2683 1498091531.7776
-34.06857 277.3131 0 null gamma_ray 143.937 1498091531.9028
-36.40099 68.48898 0 null gamma_ray 2414.94 1498091532.0155
-44.04801 82.62598 0 null gamma_ray 1261.407 1498091532.2078
-38.86732 27.28166 0 null gamma_ray 34.43847 1498091532.5036
-38.81393 46.49712 0 null gamma_ray 69.17487 1498091532.5678
-25.85151 64.87398 0 null gamma_ray 277.0645 1498091532.7733
-52.40565 108.0091 0 null gamma_ray 1709.751 1498091532.8743
-11.47414 287.3381 0 null gamma_ray 122.3428 1498091532.963
-57.42113 258.3136 0 null gamma_ray 1861.208 1498091533.2602
-37.87156 71.33762 0 null gamma_ray 147.5142 1498091533.5737
-51.43381 100.0449 0 null gamma_ray 329.3441 1498091533.6764
-51.6411 132.8798 0 null gamma_ray 171.0471 1498091533.8875
